0	0.63045
1	1.07316
2	2.08237
3	0.45768
4	0.61782
5	0.706784
6	0.391886
7	0.173923
8	1.15078
9	0.89627
10	0.926833
11	0.0306464
12	0.461112
13	0.975138
14	2.32338
15	0.567946
16	1.26622
17	0.829153
18	0.834125
19	0.875717
20	0.572117
21	0.650704
22	1.60039
23	1.32878
24	0.658774
25	1.65796
26	0.635371
27	0.569887
28	1.14701
29	1.67472
30	0.538571
31	0.223971
32	1.25966
33	0.869565
34	0.0882365
35	0.558545
36	0.288258
37	0.533129
38	0.590165
39	0.833723
40	1.35459
41	0.460333
42	0.203988
43	0.449781
44	0.400123
45	0.751652
46	0.0757675
47	0.68163
48	0.703411
49	2.21629
50	1.34105
51	0.239376
52	0.877024
53	0.814622
54	1.28867
55	1.28518
56	0.510884
57	0.400271
58	1.12136
59	1.51203
60	0.302325
61	0.400801
62	1.3442
63	0.951732
64	0.69042
65	0.297443
66	0.832208
67	0.158297
68	0.738662
69	0.675331
70	0.523881
71	1.37499
72	0.647844
73	0.405023
74	0.883153
75	0.490521
76	0.723868
77	1.8017
78	0.960385
79	1.07253
80	0.407484
81	1.0159
82	1.18663
83	1.14997
84	0.853554
85	0.663533
86	0.333553
87	0.197569
88	0.709904
89	1.00188
90	0.660278
91	0.698653
92	0.214637
93	0.777895
94	0.753519
95	1.01208
96	0.591012
97	0.368265
98	1.32032
99	2.26158
